Reporting country (Name),Partner country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[2019],S
Madagascar,Germany,"Tunas prepared or preserved, not minced, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.03,
Madagascar,Greece,"Gadiformes nei, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,8.9,
Madagascar,India,Agar agar nei,Imports,Tonnes – net product weight,Tonnes – net product weight,0.13,
Madagascar,India,"Aquatic invertebrates, other than prepared or preserved",Imports,Tonnes – net product weight,Tonnes – net product weight,0.08,
Madagascar,India,Coral and the like,Exports,Tonnes – net product weight,Tonnes – net product weight,19,
Madagascar,India,"Pilchards (Sardinops spp.), prep. or pres., not minced, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,40,
Madagascar,Indonesia,Coral and the like,Exports,Tonnes – net product weight,Tonnes – net product weight,20,
Madagascar,Ireland,"Tunas prepared or preserved, not minced, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,19.87,
Madagascar,Italy,"Anchovies, prepared or preserved, not minced",Imports,Tonnes – net product weight,Tonnes – net product weight,1.25,
Madagascar,Italy,"Anchovies, salted or in brine",Imports,Tonnes – net product weight,Tonnes – net product weight,0.05,
Madagascar,Italy,"Clams, cockles, arkshells nei, dried, salted or in brine, smoked",Exports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,Italy,Coral and the like,Exports,Tonnes – net product weight,Tonnes – net product weight,2.12,
Madagascar,Italy,"Fish live, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.4,
Madagascar,Italy,"Fish nei, smoked",Exports,Tonnes – net product weight,Tonnes – net product weight,0.04,
Madagascar,Italy,"Fish nei, smoked",Imports,Tonnes – net product weight,Tonnes – net product weight,0.02,
Madagascar,Italy,"Marine fish nei, minced, prepared or preserved",Imports,Tonnes – net product weight,Tonnes – net product weight,0.03,
Madagascar,Italy,"Salmonoids, not minced, prepared or preserved",Imports,Tonnes – net product weight,Tonnes – net product weight,0.05,
Madagascar,Italy,"Salmons, smoked",Imports,Tonnes – net product weight,Tonnes – net product weight,0.07,
Madagascar,Italy,"Seaweeds and other algae, fit for human consumption, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,0.1,
Madagascar,Italy,"Tunas prepared or preserved, not minced, nei",Exports,Tonnes – net product weight,Tonnes – net product weight,251.76,
Madagascar,Italy,"Tunas prepared or preserved, not minced, nei",Imports,Tonnes – net product weight,Tonnes – net product weight,0.01,
Madagascar,Japan,"Eels, frozen",Exports,Tonnes – net product weight,Tonnes – net product weight,0.02,
